bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,1585424331,9781585424337,eng,320,88437,2305
1007,Think and Grow Rich,Napoleon Hill,4.18,1932429239,9781932429237,eng,368,44,9
1014,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,3.57,0977616657,9780977616657,eng,256,170,14
1022,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,3.95,1563410907,9781563410901,en-US,288,249,16
1032,Trump: The Art of the Deal,Donald J. Trump-Tony Schwartz,3.65,0345479173,9780345479174,en-US,384,11727,856
1052,The Richest Man in Babylon,George S. Clason,4.25,0451205367,9780451205360,eng,194,67697,2865
1053,The Richest Man in Babylon,George S. Clason,4.25,1419349996,9781419349997,eng,4,78,12
1059,Shibumi,Trevanian-Gisela Stege,4.22,1400098033,9781400098033,eng,480,9001,612
1067,1776,David McCullough,4.07,0743226720,9780743226721,eng,386,158126,6034
1068,1776,Peter  Stone-Sherman Edwards,4.21,0140481397,9780140481396,eng,192,1269,30
1073,The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,3.60,0226014908,9780226014906,eng,284,32,5
1077,Gap Creek,Robert Morgan,3.73,1565122429,9781565122420,eng,326,282,42
1078,The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,1416500189,9781416500186,eng,418,195372,7481
1083,The Good Earth,Pearl S. Buck,3.98,0671823493,9780671823498,en-US,260,54,7
1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,3.92,0310258979,9780310258971,eng,5,26,2
1093,Purpose Driven Life,Rick Warren,3.92,0310264138,9780310264132,en-US,336,20,3
1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,0060838582,9780060838584,eng,399,187311,4923
1099,Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,3.74,0141006870,9780141006871,eng,384,793,75
1103,Snow Flower and the Secret Fan,Lisa See,4.07,0812968069,9780812968064,eng,269,296789,14990
1110,The Broker,John Grisham,3.78,0385340540,9780385340540,eng,422,70174,2245
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.50,0394720245,9780394720241,eng,1344,9845,1109
1117,The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,3.73,0345480600,9780345480606,eng,320,27,1
1120,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips-Michael D'Orso,3.73,0060193395,9780060193393,en-US,201,3806,275
1121,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke-Cindy Crawford,3.63,1579546013,9781579546014,en-US,288,398,63
